token,symbol,levels,ltp
348929,HINDALCO,"((636.0, '2022-03'), 6)",640.0
4843777,VBL,"((624.8, '2024-02'), 8)",630.35
2863105,IDFCFIRSTB,"((64.3, '2022-12'), 7)",64.62
543745,MASTEK,"((3082.1, '2024-08'), 12)",3150.9
543745,MASTEK,"((3145.0, '2024-02'), 5)",3150.9
758529,SAIL,"((112.35, '2022-04'), 16)",111.45
6386689,LTF,"((144.6, '2024-03'), 9)",139.71
6386689,LTF,"((140.2, '2023-07'), 8)",139.71
2889473,UPL,"((524.25, '2020-09'), 17)",524.5
193793,CRISIL,"((5268.5, '2024-03'), 1)",5268.9
341249,HDFCBANK,"((1725.0, '2021-10'), 8)",1742.25
341249,HDFCBANK,"((1702.4, '2023-01'), 11)",1742.25
341249,HDFCBANK,"((1721.4, '2023-12'), 9)",1742.25
341249,HDFCBANK,"((1757.5, '2023-07'), 4)",1742.25
341249,HDFCBANK,"((1722.1, '2022-04'), 9)",1742.25
4708097,RBLBANK,"((156.1, '2020-09'), 7)",156.18
4708097,RBLBANK,"((155.6, '2021-08'), 12)",156.18
492033,KOTAKBANK,"((1740.0, '2020-02'), 74)",1727.75
492033,KOTAKBANK,"((1672.55, '2022-03'), 33)",1727.75
492033,KOTAKBANK,"((1721.0, '2021-12'), 70)",1727.75
2393089,IOB,"((51.1, '2023-10'), 2)",51.13
2995969,ALKEM,"((5578.8, '2024-05'), 1)",5529.8
2995969,ALKEM,"((5520.0, '2024-02'), 3)",5529.8
261889,FEDERALBNK,"((206.59, '2024-08'), 1)",206.65
